GLOSS	CATALAN_REF	CATALAN_SEQ	FRENCH_REF	FRENCH_SEQ	ITALIAN_REF	ITALIAN_SEQ	LATIN_REF	LATIN_SEQ	PORTUGUESE_REF	PORTUGUESE_SEQ	ROMANIAN_REF	ROMANIAN_SEQ	SPANISH_REF	SPANISH_SEQ
DIVIDE	d̪ i β i ð i - -	d̪ i β i ð i	d i v i z e - -	d i v i z e	d i v i d e r e	d i v i d e r e	d iː w ɪ d ɛ r ɛ	d iː w ɪ d ɛ r ɛ	d i v ə ð i r -	d i v ə ð i r	ɨ m p ə r tsʲ	ɨ m p ə r tsʲ	d i β i ð i ɾ -	d i β i ð i ɾ
DO	f ɛ - - - -	f ɛ	f ɛː - - ʁ -	f ɛː ʁ	f a - - r e	f a r e	f a k ɛ r ɛ	f a k ɛ r ɛ	f ɐ z e r -	f ɐ z e r	f a tʃ e	f a tʃ e	- a θ e ɾ -	a θ e ɾ
DOG	g ɔ s	g ɔ s	ʃ j ɛ̃	ʃ j ɛ̃	k a - n e -	k a n e	k a - n ɪ s	k a n ɪ s	k ɐ̃ w	k ɐ̃ w	k ɨ j n e -	k ɨ j n e	p e r o	p e r o
DOLL	n i n ə	n i n ə	p u p e	p u p e	b a m b o l a	b a m b o l a	p uː p a	p uː p a	b o n e k a	b o n e k a	p ə p u ʃ ə	p ə p u ʃ ə	m u ɲ e k a	m u ɲ e k a
DONATE	r ə ɣ ə lˠ - - a	r ə ɣ ə lˠ a	ɔ f ʁ iː ʁ	ɔ f ʁ iː ʁ	r e g a l a r e	r e g a l a r e	lˠ a r g iː r iː	lˠ a r g iː r iː	u f ə r ə s e r	u f ə r ə s e r	d ə r u j	d ə r u j	ɾ e ɣ a l a ɾ -	ɾ e ɣ a l a ɾ
DOOR	p - ɔ ɾ t̪ ə	p ɔ ɾ t̪ ə	p - ɔ ʁ t -	p ɔ ʁ t	p - o r t a	p o r t a	ɪ aː n ʊ a	ɪ aː n ʊ a	p - ɔ r t ɐ	p ɔ r t ɐ	u ʃ ə	u ʃ ə	p w e ɾ t a	p w e ɾ t a
DOWN	k ə p + ə β a ʎ	k ə p + ə β a ʎ	v ɛː ʁ l ə b ɑ	v ɛː ʁ l ə b ɑ	i n + dʒ u	i n + dʒ u	p ɛ sː ʊ̃	p ɛ sː ʊ̃	p a r a β a j ʃ u	p a r a β a j ʃ u	d e + v a l e	d e + v a l e	a θ j a + a β a x o	a θ j a + a β a x o
DRAG	ə r u s ə ɣ a	ə r u s ə ɣ a	t ʁ ɛ - - n - - e	t ʁ ɛ n e	t r a ʃː i n a r e	t r a ʃː i n a r e	p ɛ r t r a h ɛ r ɛ	p ɛ r t r a h ɛ r ɛ	a ʀ a ʃ t - a r	a ʀ a ʃ t a r	t ɨ r ɨ	t ɨ r ɨ	a r a s t ɾ a ɾ	a r a s t ɾ a ɾ
DRAW_MILK	m u ɲ i	m u ɲ i	t ʁ ɛː ʁ	t ʁ ɛː ʁ	m u n dʒ e r e	m u n dʒ e r e	m ʊ lˠ g eː r ɛ	m ʊ lˠ g eː r ɛ	o r ð e ɲ a r	o r ð e ɲ a r	m u l dʒ - - e	m u l dʒ e	o ɾ ð e ɲ a ɾ	o ɾ ð e ɲ a ɾ
DREAM	- - s - ɔ m n i -	s ɔ m n i	s ɔ̃ː ʒ	s ɔ̃ː ʒ	- - s - o - ɲː o -	s o ɲː o	- - s - ɔ m n ɪ ʊ̃	s ɔ m n ɪ ʊ̃	- - s - o - ɲ u -	s o ɲ u	v i s	v i s	e n s w e - ɲ o -	e n s w e ɲ o
DRESS_UP	β ə s t i ɾ z ə	β ə s t i ɾ z ə	s a b i j e	s a b i j e	v e s t i r z i	v e s t i r z i	w ɛ s t iː r - iː	w ɛ s t iː r iː	v ə ʃ t i r s ə	v ə ʃ t i r s ə	s e + ɨ m b r ə k a	s e + ɨ m b r ə k a	b e s t i ɾ s e	b e s t i ɾ s e
DRINK	b ɛ w - ɾ ə	b ɛ w ɾ ə	b w aː ʁ	b w aː ʁ	b e - - r e	b e r e	b ɪ b ɛ r ɛ	b ɪ b ɛ r ɛ	b ə β e r -	b ə β e r	b e a	b e a	b e β e ɾ -	b e β e ɾ
DRIVE	- ə n a	ə n a	ʁ u l e	ʁ u l e	v i a d dʒ a r e	v i a d dʒ a r e	w ɛ h iː	w ɛ h iː	i r	i r	m e r dʒ e	m e r dʒ e	i ɾ	i ɾ
DRIVE_(CATTLE)	ə r i a	ə r i a	m ə n e	m ə n e	s p i n dʒ e r e	s p i n dʒ e r e	a g ɛ r ɛ	a g ɛ r ɛ	k õ d u z i r	k õ d u z i r	m ɨ n ə	m ɨ n ə	a β a ʝ a ɾ	a β a ʝ a ɾ
DROP_(OF_A_LIQUID)	g ɔ - t̪ ə	g ɔ t̪ ə	g u - t -	g u t	g o t tʃ a	g o t tʃ a	gʷ - - tː a	gʷ tː a	g o - t ɐ	g o t ɐ	p i k ə t u r ə	p i k ə t u r ə	g o - t a	g o t a
DROP_(SOMETHING)	d̪ ə ʃ ə ɾ - + k a w - ɾ ə	d̪ ə ʃ ə ɾ + k a w ɾ ə	l ɛ s e + t ɔ̃ b e	l ɛ s e + t ɔ̃ b e	l a ʃː a r e + k a d e r e	l a ʃː a r e + k a d e r e	d iː m ɪ tː ɛ r ɛ	d iː m ɪ tː ɛ r ɛ	d e j ʃ a r k a j r	d e j ʃ a r k a j r	a r u n k a	a r u n k a	d e x a ɾ - + k a - e ɾ -	d e x a ɾ + k a e ɾ
DRY	s ɛ k -	s ɛ k	s ɛ k -	s ɛ k	s e kː o	s e kː o	aː r ɪ d ʊ s	aː r ɪ d ʊ s	s e k u	s e k u	u s k a t	u s k a t	s e k o	s e k o
DRY_UP	ə s ə k a ɾ z ə	ə s ə k a ɾ z ə	s e ʃ e	s e ʃ e	a ʃː u g a r z i	a ʃː u g a r z i	aː r eː s k ɛ r ɛ	aː r eː s k ɛ r ɛ	- s ə k a r - -	s ə k a r	s e + u s k a	s e + u s k a	- s e k a ɾ s e	s e k a ɾ s e
DUCK	a n ə k	a n ə k	k a n aː ʁ	k a n aː ʁ	a n a t r a	a n a t r a	a n a s	a n a s	p a t ɐ	p a t ɐ	r a ts ə	r a ts ə	p a t o	p a t o
DUST	p ɔ lˠ s	p ɔ lˠ s	p u s j ɛː ʁ	p u s j ɛː ʁ	p o l v e r e	p o l v e r e	p ʊ lˠ w ɪ s	p ʊ lˠ w ɪ s	p ɔ	p ɔ	p r a f	p r a f	p o l β - - o	p o l β o
DWELL_(LIVE,_RESIDE)	- ə β i t̪ - - a	ə β i t̪ a	d ə m œ ʁ e	d ə m œ ʁ e	- a b i t a r e	a b i t a r e	h a b ɪ t aː r ɛ	h a b ɪ t aː r ɛ	m u r a r	m u r a r	l o k u j	l o k u j	- a β i t a ɾ -	a β i t a ɾ
DYE	t̪ ə ɲ - i - -	t̪ ə ɲ i	t ɛ̃ː - d - ʁ ə	t ɛ̃ː d ʁ ə	t i n dʒ e r e	t i n dʒ e r e	t ɪ ŋ g ɛ r ɛ	t ɪ ŋ g ɛ r ɛ	k o l o r - i r	k o l o r i r	k o l o r - a -	k o l o r a	k o l o ɾ e a ɾ	k o l o ɾ e a ɾ
EAGLE	a ɣ - i lˠ ə	a ɣ i lˠ ə	ɛː g l ə	ɛː g l ə	a k w i l a	a k w i l a	a kʷ - ɪ lˠ a	a kʷ ɪ lˠ a	a ɣ j ɐ	a ɣ j ɐ	v u l t u r	v u l t u r	a ɣ - i l a	a ɣ i l a
EAR	u ɾ ɛ ʎ - ə	u ɾ ɛ ʎ ə	ɔ ʁ ɛ - j -	ɔ ʁ ɛ j	o r e kː j o	o r e kː j o	a ʊ r ɪ s	a ʊ r ɪ s	o r e ʎ - ɐ	o r e ʎ ɐ	u r e k - e	u r e k e	o ɾ e x - a	o ɾ e x a
EARTH_(SOIL)	t̪ - ɛ r ə	t̪ ɛ r ə	t - ɛː ʁ -	t ɛː ʁ	t - e rː a	t e rː a	t - ɛ rː a	t ɛ rː a	t - ɛ ʀ ɐ	t ɛ ʀ ɐ	p ə m ɨ n t	p ə m ɨ n t	t j e r a	t j e r a
EAST	u ɾ i ɛ n̪ - -	u ɾ i ɛ n̪	ɔ ʁ j ɑ̃	ɔ ʁ j ɑ̃	o r i e n t e	o r i e n t e	ɔ r ɪ ẽː s - -	ɔ r ɪ ẽː s	o r j e n t e	o r j e n t e	r ə s ə r i t	r ə s ə r i t	- e s t e	e s t e
EAT	m ə ɲ ʒ - - a	m ə ɲ ʒ a	m ɑ̃ - ʒ - - e	m ɑ̃ ʒ e	m a n dʒ a r e	m a n dʒ a r e	ɛ d ɛ r ɛ	ɛ d ɛ r ɛ	k u m e r	k u m e r	m ɨ n k - - a	m ɨ n k a	k o m e ɾ	k o m e ɾ
EDGE	k ə n̪ t̪ ɛ ʎ	k ə n̪ t̪ ɛ ʎ	a ʁ ɛː t	a ʁ ɛː t	s p i g o l o	s p i g o l o	a ŋ gʷ lˠ ʊ s	a ŋ gʷ lˠ ʊ s	a r e ʃ t a	a r e ʃ t a	b o r d u r ə	b o r d u r ə	b o ɾ ð - - e	b o ɾ ð e
EGG	- ɔ w -	ɔ w	- œ f -	œ f	u o v o	u o v o	- oː w ʊ̃	oː w ʊ̃	- o v u	o v u	- o w -	o w	w e β o	w e β o
EIGHT	β u j t̪	β u j t̪	ɥ i t	ɥ i t	o - tː o	o tː o	ɔ k t oː	ɔ k t oː	o j t u	o j t u	- o p t	o p t	o - tʃ o	o tʃ o
EIGHTY	β u j t̪ - - a n̪ t̪ ə	β u j t̪ a n̪ t̪ ə	k a t ʁ ə v ɛ̃	k a t ʁ ə v ɛ̃	- o - tː - - a n t a	o tː a n t a	- ɔ k t oː g ɪ n t aː	ɔ k t oː g ɪ n t aː	- o j t - - ẽ - t ɐ	o j t ẽ t ɐ	o p t z e tʃʲ	o p t z e tʃʲ	- o - tʃ - - e n t a	o tʃ e n t a
ELBOW	k ɔ lˠ z ə	k ɔ lˠ z ə	k u d -	k u d	g o m i t o	g o m i t o	k ʊ b ɪ t ʊ̃	k ʊ b ɪ t ʊ̃	k u t u v e l u	k u t u v e l u	k o t -	k o t	k o ð o	k o ð o
ELEVATION	t̪ u ɾ o	t̪ u ɾ o	e l e v ɑ s j ɔ̃	e l e v ɑ s j ɔ̃	a l t u r a	a l t u r a	s p ɛ k ʊ lˠ a	s p ɛ k ʊ lˠ a	o w t e j r u	o w t e j r u	r i d i k ə t u r ə	r i d i k ə t u r ə	θ e r o	θ e r o
ELEVEN	ɔ n z ə	ɔ n z ə	ɔ̃ː z	ɔ̃ː z	u n d i tʃ i	u n d i tʃ i	uː n d ɛ k ɪ̃	uː n d ɛ k ɪ̃	õ - z ə	õ z ə	u n s p r e z e tʃ e	u n s p r e z e tʃ e	o n θ e	o n θ e
ELK	a n̪	a n̪	e l ɑ̃	e l ɑ̃	a l tʃ e -	a l tʃ e	a lˠ k eː s	a lˠ k eː s	a lˠ s e -	a lˠ s e	j e l a n	j e l a n	a l θ e -	a l θ e
EMERGE_(APPEAR)	- ə - p ə ɾ ɛ ʃ ə - -	ə p ə ɾ ɛ ʃ ə	- a - p a ʁ ɛː t - ʁ ə	a p a ʁ ɛː t ʁ ə	k o m p a r i - - r e	k o m p a r i r e	- a - pː aː r eː - - r ɛ	a pː aː r eː r ɛ	- ɐ - p ɐ r ə s e r -	ɐ p ɐ r ə s e r	- a - p ə r e - a - -	a p ə r e a	- a - p a ɾ e θ e ɾ -	a p a ɾ e θ e ɾ
EMPTY	b u j t̪	b u j t̪	v i d	v i d	v u o t o	v u o t o	w a k ʊ ʊ s	w a k ʊ ʊ s	v ɐ z i w	v ɐ z i w	g o l	g o l	b a θ i o	b a θ i o
ENDURE	ə ɣ w ə n̪ t̪ a	ə ɣ w ə n̪ t̪ a	s y p ɔ ʁ t e - -	s y p ɔ ʁ t e	s o pː o r t a r e	s o pː o r t a r e	s ʊ s t ɪ n eː r ɛ	s ʊ s t ɪ n eː r ɛ	s u p u r t a r -	s u p u r t a r	s u p o r t a - -	s u p o r t a	s o p o ɾ t a ɾ -	s o p o ɾ t a ɾ
END_(OF_SPACE)	k a p - -	k a p	b u	b u	e - s t r e m i t a	e s t r e m i t a	k a p ʊ t	k a p ʊ t	e j ʃ t r e m - - u	e j ʃ t r e m u	k a p ə t	k a p ə t	e k s t ɾ e m - - o	e k s t ɾ e m o
END_(OF_TIME)	f i n a lˠ -	f i n a lˠ	f ɛ̃ -	f ɛ̃	f i n e - -	f i n e	f iː n ɪ s -	f iː n ɪ s	f ĩ -	f ĩ	s f ɨ r ʃ i t	s f ɨ r ʃ i t	f i n a l -	f i n a l
ENEMY	ə n ə m i k - -	ə n ə m i k	ɛ n - m i - - -	ɛ n m i	- n e m i k o -	n e m i k o	ɪ n ɪ m iː k ʊ s	ɪ n ɪ m iː k ʊ s	i n ə m i ɣ u -	i n ə m i ɣ u	d u ʃ m a n	d u ʃ m a n	e n e m i ɣ o -	e n e m i ɣ o
ENTER	ə n̪ t̪ ɾ a - -	ə n̪ t̪ ɾ a	ɑ̃ - t ʁ e - -	ɑ̃ t ʁ e	e n t r a r e	e n t r a r e	ɪ ŋ g r ɛ d iː	ɪ ŋ g r ɛ d iː	ẽ - t r a r -	ẽ t r a r	i n t r a - -	i n t r a	e n t ɾ a ɾ -	e n t ɾ a ɾ
ESCAPE	r ə f u ʒ i - a ɾ z ə	r ə f u ʒ i a ɾ z ə	s ɑ̃ f ɥ iː ʁ	s ɑ̃ f ɥ iː ʁ	s f u d dʒ i r e	s f u d dʒ i r e	ɛ fː ʊ g ɛ r ɛ	ɛ fː ʊ g ɛ r ɛ	r e f u ʒ - j a r ʃ e	r e f u ʒ j a r ʃ e	j e v a d a	j e v a d a	e s k a p a ɾ s e	e s k a p a ɾ s e
EVENING	β ɛ s p - ɾ ə	β ɛ s p ɾ ə	s w a - ʁ - - e	s w a ʁ e	s - e - r a t a	s e r a t a	w ɛ s p ɛ r -	w ɛ s p ɛ r	t ɐ r d i ɲ ɐ	t ɐ r d i ɲ ɐ	s - e a r - - ə	s e a r ə	n o - tʃ e	n o tʃ e
EVERYWHERE	p ə ɾ + t̪ u t̪ + ə r ɛ w	p ə ɾ + t̪ u t̪ + ə r ɛ w	- - p a ʁ t u - -	p a ʁ t u	d a pː e r t u tː o	d a pː e r t u tː o	ʊ b iː kʷ ɛ	ʊ b iː kʷ ɛ	- ẽ - + t o ð ɐ - + p a r t ə -	ẽ + t o ð ɐ + p a r t ə	p r e t u t i n d e nʲ	p r e t u t i n d e nʲ	p o ɾ + t o ð a s + p a ɾ t e s	p o ɾ + t o ð a s + p a ɾ t e s
EVIL	d̪ u lˠ ɛ n̪	d̪ u lˠ ɛ n̪	m o v ɛ	m o v ɛ	k a tː i v o	k a tː i v o	ɪ m p r ɔ b ʊ s	ɪ m p r ɔ b ʊ s	m a w	m a w	r ə w t ə tʃ j o s	r ə w t ə tʃ j o s	m a l o	m a l o
EXPENSIVE	k a - - -	k a	ʃ ɛː ʁ	ʃ ɛː ʁ	k a r o -	k a r o	k aː r ʊ s	k aː r ʊ s	k a r u -	k a r u	s k u m p	s k u m p	k a ɾ o -	k a ɾ o
EYE	u ʎ - -	u ʎ	œ - j -	œ j	o kː j o	o kː j o	ɔ k ʊ lˠ ʊ s	ɔ k ʊ lˠ ʊ s	o ʎ - u	o ʎ u	o kʲ	o kʲ	o x - o	o x o
FACE	k a ɾ ə	k a ɾ ə	v i z aː ʒ	v i z aː ʒ	f a t tʃ a	f a t tʃ a	w ʊ lˠ t uː s	w ʊ lˠ t uː s	ʀ o ʃ t u	ʀ o ʃ t u	f i g u r ə	f i g u r ə	k a ɾ a	k a ɾ a
FAIRY_TALE	k - ɔ n̪ t̪ ə	k ɔ n̪ t̪ ə	k ɔ̃ː t + d ə + f eː	k ɔ̃ː t + d ə + f eː	f a v o l a	f a v o l a	f aː b ʊ lˠ a	f aː b ʊ lˠ a	k - õ - t u	k õ t u	p o v e s t e	p o v e s t e	k w e n t o	k w e n t o
FALL	t̪ u m β a	t̪ u m β a	t ɔ̃ b e	t ɔ̃ b e	k a d e r e	k a d e r e	k a d ɛ r ɛ	k a d ɛ r ɛ	k ɐ - i r -	k ɐ i r	k ə d e - a	k ə d e a	k a - e ɾ -	k a e ɾ
FALL_ASLEEP	- ə ð u ɾ m - - - i ɾ z ə	ə ð u ɾ m i ɾ z ə	s ɑ̃ d ɔ ʁ m - - - iː ʁ - -	s ɑ̃ d ɔ ʁ m iː ʁ	- a dː o r m e n t a r z i	a dː o r m e n t a r z i	ɔ b d ɔ r m iː s k ɛ r ɛ	ɔ b d ɔ r m iː s k ɛ r ɛ	- ɐ ð u r m ə - s e r - -	ɐ ð u r m ə s e r	a d o r mʲ	a d o r mʲ	- - d o ɾ m - - - i ɾ s e	d o ɾ m i ɾ s e
FAMILIAR	k u n ə - ɣ u t̪ -	k u n ə ɣ u t̪	k ɔ n y	k ɔ n y	k o n o ʃː - u t o	k o n o ʃː u t o	n oː t ʊ s	n oː t ʊ s	k u ɲ ə s - i ð u	k u ɲ ə s i ð u	k u n o s k u t -	k u n o s k u t	k o n o θ - i ð o	k o n o θ i ð o
FAMILY	f ə m i lˠ i a	f ə m i lˠ i a	f a m i j - -	f a m i j	f a m i ʎː - a	f a m i ʎː a	f a m ɪ lˠ ɪ a	f a m ɪ lˠ ɪ a	f ɐ m i l j ɐ	f ɐ m i l j ɐ	f a m i l j e	f a m i l j e	f a m i l j a	f a m i l j a
FAR	d̪ i s t a n̪ -	d̪ i s t a n̪	l w ɛ̃ t ɛ̃	l w ɛ̃ t ɛ̃	l o n t a n o	l o n t a n o	lˠ ɔ ŋ g ɪ ŋ kʷ ʊ s	lˠ ɔ ŋ g ɪ ŋ kʷ ʊ s	d i ʃ t ã t e	d i ʃ t ã t e	d e p a r t e	d e p a r t e	l e - x a n o	l e x a n o
FATHER	p a - - ɾ ə	p a ɾ ə	p ɛː - - ʁ -	p ɛː ʁ	p a d - r e	p a d r e	p a t ɛ r -	p a t ɛ r	p a - - j -	p a j	p ə r i n t e	p ə r i n t e	p a ð - ɾ e	p a ð ɾ e
FAT_(OBESE)	g ɾ a s - -	g ɾ a s	g ʁ ɑ - - -	g ʁ ɑ	g r a sː o -	g r a sː o	k r a sː ʊ s	k r a sː ʊ s	g o r ð - - u	g o r ð u	g r a s - -	g r a s	o β e s o	o β e s o
FAT_(ORGANIC_SUBSTANCE)	g ɾ ɛ ʃ - -	g ɾ ɛ ʃ	g ʁ ɛ s - -	g ʁ ɛ s	g r a sː o -	g r a sː o	p ɪ ŋ gʷ ɛ	p ɪ ŋ gʷ ɛ	ɣ o r ð u r a	ɣ o r ð u r a	g r ə s i m e	g r ə s i m e	g ɾ a s a -	g ɾ a s a
FAULT	k u lˠ p ə	k u lˠ p ə	k y l p a b i l i t e	k y l p a b i l i t e	k o l p a	k o l p a	k ʊ lˠ p a	k ʊ lˠ p a	k u lˠ p ɐ	k u lˠ p ɐ	v i n ə	v i n ə	k u l p a	k u l p a
FEAR_(BE_AFRAID)	t̪ ə n i ɾ + p - - - ɔ	t̪ ə n i ɾ + p ɔ	a v w aː ʁ - + p œː - ʁ -	a v w aː ʁ + p œː ʁ	a v - e r e + p a u r a	a v e r e + p a u r a	w ɛ r eː r ɪ	w ɛ r eː r ɪ	t e r r e s e j o ð e	t e r r e s e j o ð e	f i + t e a m ə + a	f i + t e a m ə + a	t e n e ɾ + m j e ð o	t e n e ɾ + m j e ð o
FEATHER	p lˠ ɔ m ə	p lˠ ɔ m ə	p l y m -	p l y m	p e nː a	p e nː a	p ɛ nː a	p ɛ nː a	p e n ɐ	p e n ɐ	p a n ə	p a n ə	p l u m a	p l u m a
FEBRUARY	f ə β - ɾ - - - - - ɛ -	f ə β ɾ ɛ	f e v - ʁ - - - - i e -	f e v ʁ i e	f e bː - r - a - - i o -	f e bː r a i o	f ɛ b - r ʊ aː - r ɪ ʊ s	f ɛ b r ʊ aː r ɪ ʊ s	f ə v ə r - e j r - u -	f ə v ə r e j r u	f e b r w a r j e	f e b r w a r j e	f e β - ɾ - e - ɾ - o -	f e β ɾ e ɾ o
FEED	d̪ u n ə ɾ + m ə ɲ ʒ ə ɾ + a	d̪ u n ə ɾ + m ə ɲ ʒ ə ɾ + a	f ɛː ʁ + m ɑ̃ ʒ e	f ɛː ʁ + m ɑ̃ ʒ e	d a r + d a + m a n dʒ a r e + a	d a r + d a + m a n dʒ a r e + a	n uː t r iː r ɛ	n uː t r iː r ɛ	d a r ð e k o m e r a	d a r ð e k o m e r a	d a + d e + m ɨ n k a r e	d a + d e + m ɨ n k a r e	e tʃ a ɾ + ð e + k o m e ɾ	e tʃ a ɾ + ð e + k o m e ɾ
FEEL_(TACTUALLY)	s ə n̪ t̪ i - -	s ə n̪ t̪ i	s ɑ̃ - t iː ʁ -	s ɑ̃ t iː ʁ	s e n t i r e	s e n t i r e	s ɛ n t iː r ɛ	s ɛ n t iː r ɛ	s ẽ - t i r -	s ẽ t i r	r e s i m tsʲ	r e s i m tsʲ	s e n t i ɾ -	s e n t i ɾ
FENCE	t̪ a ŋ k ə	t̪ a ŋ k ə	k l o t yː ʁ	k l o t yː ʁ	r e tʃ i n t o	r e tʃ i n t o	s a ɛ p eː s	s a ɛ p eː s	v e ð a s ã w	v e ð a s ã w	g a r d	g a r d	θ e ɾ k a ð o	θ e ɾ k a ð o
FEVER	f - ɛ β ɾ ə -	f ɛ β ɾ ə	f j ɛː v ʁ ə -	f j ɛː v ʁ ə	f - e bː r e -	f e bː r e	f - ɛ b r ɪ s	f ɛ b r ɪ s	f - ɛ β r ə -	f ɛ β r ə	f - e b r ə -	f e b r ə	f j e β ɾ e -	f j e β ɾ e
FIFTY	s i ŋ k - w a n̪ t̪ ə	s i ŋ k w a n̪ t̪ ə	s ɛ̃ - k - - ɑ̃ː - t -	s ɛ̃ k ɑ̃ː t	tʃ i n k - w a n t a	tʃ i n k w a n t a	kʷ iː ŋ kʷ aː g iː n t aː	kʷ iː ŋ kʷ aː g iː n t aː	s ĩ - k - w ẽ - t ɐ	s ĩ k w ẽ t ɐ	tʃ i n tʃ i z e tʃʲ	tʃ i n tʃ i z e tʃʲ	θ i ŋ k - w e n t a	θ i ŋ k w e n t a
FILL	- u m p lˠ - - i	u m p lˠ i	ʁ ɑ̃ p l iː ʁ	ʁ ɑ̃ p l iː ʁ	r i e m p i r e	r i e m p i r e	k ɔ m p lˠ eː r ɛ	k ɔ m p lˠ eː r ɛ	ẽ ʃ e r	ẽ ʃ e r	- u m p l - - e	u m p l e	ʝ e n a ɾ	ʝ e n a ɾ
FIND	t̪ ɾ u β - - a	t̪ ɾ u β a	t ʁ u v - - e	t ʁ u v e	t r o v a r e	t r o v a r e	r ɛ p ɛ r iː r ɛ	r ɛ p ɛ r iː r ɛ	ẽ - k õ - t r a r	ẽ k õ t r a r	g ə sʲ	g ə sʲ	e ŋ k o n t ɾ a ɾ	e ŋ k o n t ɾ a ɾ
FINE_OR_THIN	f i	f i	m ə n y	m ə n y	d e l i k a t o	d e l i k a t o	s ʊ b t iː lˠ ɪ s	s ʊ b t iː lˠ ɪ s	ʃ u β t i lˠ	ʃ u β t i lˠ	s u b ts i r e	s u b ts i r e	d e l i k a ð o	d e l i k a ð o
FINGER	d̪ i t̪ -	d̪ i t̪	d w a	d w a	d i t o	d i t o	d ɪ g ɪ t ʊ s	d ɪ g ɪ t ʊ s	d e ð u	d e ð u	d e dʒ e t	d e dʒ e t	d e ð o	d e ð o
FINGERNAIL	u ŋ g lˠ ə	u ŋ g lˠ ə	ɔ̃ - g l ə	ɔ̃ g l ə	u ŋ g j a	u ŋ g j a	ʊ ŋ gʷ ɪ k ʊ lˠ ʊ s	ʊ ŋ gʷ ɪ k ʊ lˠ ʊ s	u ɲ ɐ	u ɲ ɐ	u n g j e	u n g j e	u ɲ a	u ɲ a
FINGERNAIL_OR_TOENAIL	u ŋ g lˠ ə	u ŋ g lˠ ə	ɔ̃ - g l ə	ɔ̃ g l ə	u ŋ g j a	u ŋ g j a	ʊ ŋ gʷ ɪ s	ʊ ŋ gʷ ɪ s	u ɲ ɐ	u ɲ ɐ	u n g j e	u n g j e	u ɲ a	u ɲ a
FINISH	ə k ə β a -	ə k ə β a	t ɛ ʁ m i n e - -	t ɛ ʁ m i n e	t e r m i n a r e	t e r m i n a r e	f iː n iː r ɛ	f iː n iː r ɛ	t ə r m i n a r -	t ə r m i n a r	t e r m i n a - -	t e r m i n a	t e ɾ m i n a ɾ -	t e ɾ m i n a ɾ
FIR	ə β ɛ t̪ -	ə β ɛ t̪	s a p ɛ̃	s a p ɛ̃	a b e t e	a b e t e	a b ɪ eː s	a b ɪ eː s	a β e t u	a β e t u	b r a d	b r a d	a β e t o	a β e t o
FIRE	f - ɔ - k -	f ɔ k	f - ø - - -	f ø	f - u o k o	f u o k o	ɪ ŋ n ɪ s	ɪ ŋ n ɪ s	f - o - ɣ u	f o ɣ u	f - o - k -	f o k	f w e - ɣ o	f w e ɣ o
FIRST	p ɾ i m - - - ɛ	p ɾ i m ɛ	p ʁ ə m - j - e	p ʁ ə m j e	p r i m - - - o	p r i m o	p r iː m ʊ - s -	p r iː m ʊ s	p r i m e j r u	p r i m e j r u	p r i m - - - -	p r i m	p ɾ i m e - ɾ o	p ɾ i m e ɾ o
FISH	p ɛ - ʃ - -	p ɛ ʃ	p w a s ɔ̃	p w a s ɔ̃	p e - ʃː - e	p e ʃː e	p ɪ s k ɪ s -	p ɪ s k ɪ s	p e j ʃ - ə	p e j ʃ ə	p e - ʃ t e	p e ʃ t e	p e - θ - -	p e θ
FISHING	p ə s k a - -	p ə s k a	p ɛ - ʃ - e	p ɛ ʃ e	p e s k a r e	p e s k a r e	p ɪ s k aː r iː	p ɪ s k aː r iː	p ə ʃ k a r -	p ə ʃ k a r	p e s k u j -	p e s k u j	p e s k a ɾ -	p e s k a ɾ
FIVE	s i ŋ -	s i ŋ	s ɛ̃ k -	s ɛ̃ k	tʃ i n k w e	tʃ i n k w e	kʷ iː ŋ kʷ - ɛ	kʷ iː ŋ kʷ ɛ	s ĩ k u	s ĩ k u	tʃ i n tʃʲ	tʃ i n tʃʲ	θ i ŋ k - o	θ i ŋ k o
FLAT	p lˠ a - - - -	p lˠ a	p l a - - - -	p l a	p - i a tː o -	p i a tː o	p lˠ aː - n ʊ s	p lˠ aː n ʊ s	p l ɐ - n u -	p l ɐ n u	p l a - n - -	p l a n	p l a - n o -	p l a n o
FLEE	f u - ʒ i - -	f u ʒ i	f - - ɥ iː ʁ -	f ɥ iː ʁ	f u d dʒ i r e	f u d dʒ i r e	f ʊ - g ɛ r ɛ	f ʊ g ɛ r ɛ	f u - ʒ i r -	f u ʒ i r	f u dʒʲ	f u dʒʲ	w i ɾ	w i ɾ
FLOCK_(OF_ANIMALS)	r ə m a t̪	r ə m a t̪	t ʁ u p o	t ʁ u p o	g r e d dʒ e	g r e d dʒ e	g r ɛ k s	g r ɛ k s	r e β a ɲ u	r e β a ɲ u	tʃ i r e a d ə	tʃ i r e a d ə	ɾ e β a ɲ o	ɾ e β a ɲ o
FLOOR	t̪ ɛ r ə	t̪ ɛ r ə	p l ɑ̃ ʃ e	p l ɑ̃ ʃ e	p a v i m e n t o	p a v i m e n t o	s - ɔ lˠ ʊ̃	s ɔ lˠ ʊ̃	p i z u	p i z u	d u ʃ u m e a	d u ʃ u m e a	s w e l o	s w e l o
FLOW	f lˠ u j	f lˠ u j	k u l e	k u l e	s k o rː e r e	s k o rː e r e	m aː n aː r ɛ	m aː n aː r ɛ	f l w i - r -	f l w i r	k u r dʒ e	k u r dʒ e	- k o r e ɾ -	k o r e ɾ
