Gloss	Lang_A	Lang_B	Accuracy	Precision	Recall	F1
quinque	Ligurian	Lombard(East)	1.0000	1.0000	1.0000	1.0000
quinque	Ligurian	Lombard(West)	1.0000	1.0000	1.0000	1.0000
quinque	Ligurian	Occitan	1.0000	1.0000	1.0000	1.0000
quinque	Ligurian	Venetian	1.0000	1.0000	1.0000	1.0000
quinque	Lombard(East)	Venetian	1.0000	1.0000	1.0000	1.0000
quinque	Lombard(West)	Venetian	1.0000	1.0000	1.0000	1.0000
quinque	Occitan	Venetian	1.0000	1.0000	1.0000	1.0000
septem	French	Italian	1.0000	1.0000	1.0000	1.0000
septem	French	Ligurian	1.0000	1.0000	1.0000	1.0000
septem	French	Venetian	1.0000	1.0000	1.0000	1.0000
septem	Italian	Ladino	1.0000	1.0000	1.0000	1.0000
septem	Italian	Ligurian	1.0000	1.0000	1.0000	1.0000
septem	Italian	Lombard(East)	1.0000	1.0000	1.0000	1.0000
septem	Italian	Lombard(West)	1.0000	1.0000	1.0000	1.0000
septem	Italian	Occitan	1.0000	1.0000	1.0000	1.0000
septem	Italian	Venetian	1.0000	1.0000	1.0000	1.0000
septem	Ladino	Ligurian	1.0000	1.0000	1.0000	1.0000
septem	Ladino	Venetian	1.0000	1.0000	1.0000	1.0000
septem	Ligurian	Lombard(East)	1.0000	1.0000	1.0000	1.0000
septem	Ligurian	Lombard(West)	1.0000	1.0000	1.0000	1.0000
septem	Ligurian	Occitan	1.0000	1.0000	1.0000	1.0000
septem	Ligurian	Venetian	1.0000	1.0000	1.0000	1.0000
septem	Lombard(East)	Venetian	1.0000	1.0000	1.0000	1.0000
septem	Lombard(West)	Venetian	1.0000	1.0000	1.0000	1.0000
septem	Occitan	Venetian	1.0000	1.0000	1.0000	1.0000
sex	French	Ladino	1.0000	1.0000	1.0000	1.0000
sex	Italian	Ladino	1.0000	1.0000	1.0000	1.0000
sex	Italian	Lombard(East)	0.0000	0.0000	0.0000	0.0000
sex	Ladino	Ligurian	1.0000	1.0000	1.0000	1.0000
sex	Ladino	Lombard(East)	1.0000	1.0000	1.0000	1.0000
sex	Ladino	Lombard(West)	1.0000	1.0000	1.0000	1.0000
sex	Ladino	Occitan	1.0000	1.0000	1.0000	1.0000
sex	Ladino	Venetian	1.0000	1.0000	1.0000	1.0000
sex	Ligurian	Lombard(East)	0.0000	0.0000	0.0000	0.0000
sex	Lombard(East)	Occitan	0.0000	0.0000	0.0000	0.0000
sex	Lombard(East)	Venetian	0.5000	0.5000	0.5000	0.5000
terram	French	Ladino	0.6000	0.6000	0.6000	0.6000
terram	Italian	Ladino	0.2000	0.2000	0.2000	0.2000
terram	Ladino	Ligurian	0.4000	0.4000	0.4000	0.4000
terram	Ladino	Lombard(East)	0.4000	0.4000	0.4000	0.4000
terram	Ladino	Lombard(West)	0.4000	0.4000	0.4000	0.4000
terram	Ladino	Occitan	0.2000	0.2000	0.2000	0.2000
terram	Ladino	Venetian	0.2000	0.2000	0.2000	0.2000
tres	French	Italian	0.5000	0.5000	0.5000	0.5000
tres	French	Ladino	0.5000	0.5000	0.5000	0.5000
tres	French	Ligurian	0.5000	0.5000	0.5000	0.5000
tres	French	Lombard(East)	0.5000	0.5000	0.5000	0.5000
tres	French	Lombard(West)	0.5000	0.5000	0.5000	0.5000
tres	French	Occitan	0.5000	0.5000	0.5000	0.5000
tres	French	Venetian	0.5000	0.5000	0.5000	0.5000
ungulam	French	Ladino	0.5000	0.5000	0.5000	0.5000
ungulam	Italian	Ladino	0.0000	0.0000	0.0000	0.0000
ungulam	Ladino	Ligurian	0.6667	0.6667	0.6667	0.6667
ungulam	Ladino	Lombard(East)	0.3333	0.3333	0.3333	0.3333
ungulam	Ladino	Lombard(West)	0.6667	0.6667	0.6667	0.6667
ungulam	Ladino	Occitan	0.3333	0.3333	0.3333	0.3333
ungulam	Ladino	Venetian	0.6667	0.6667	0.6667	0.6667
unum	Italian	Ladino	0.5000	0.5000	0.5000	0.5000
unum	Ladino	Venetian	0.5000	0.5000	0.5000	0.5000
